Title,Url
Make Your Program Slower with Threads,https://brooker.co.za/blog/2014/12/06/random.html
Roman Roads (2017),https://sashamaps.net/docs/maps/roman-roads-original/
I learned Vulkan and wrote a small game engine with it,https://edw.is/learning-vulkan/
The Problem with Lying Is Keeping Track of All the Lies,https://materialize.com/blog/engineering/keeping-track-lies/
Extracting concepts from GPT-4,https://openai.com/index/extracting-concepts-from-gpt-4/
Show HN: 2d web paddle game,https://raould.github.io/pn0gstr0m/
Imbue (Formerly Generally Intelligent) (YC S17) Is Hiring an Engineering Manager,item?id=40604246
Uganda's Sweeping Surveillance State Is Built on National ID Cards,https://www.bloomberg.com/news/features/2024-06-04/uganda-yoweri-museveni-s-critics-targeted-via-biometric-id-system
AeroSpace is an i3-like tiling window manager for macOS,https://github.com/nikitabobko/AeroSpace
lsix: Like "ls", but for images,https://github.com/hackerb9/lsix
